date,borrower_id,income,expenses,loan_repayment,net_cashflow
2023-12-18,B002,5242.6,3299.96,0.0,1942.63
2023-12-25,B002,4790.93,2890.29,0.0,1900.63
2024-01-01,B002,5476.64,3079.0,1500.0,897.64
2024-01-08,B002,5436.53,3402.29,0.0,2034.24
2024-01-15,B002,5533.35,2959.28,0.0,2574.07
2024-01-22,B002,5178.91,2945.55,0.0,2233.36
2024-01-29,B002,5490.08,3152.46,0.0,2337.62
2024-02-05,B002,5670.21,3282.88,1500.0,887.33
2024-02-12,B002,5401.87,3118.29,0.0,2283.58
2024-02-19,B002,5548.63,3383.79,0.0,2164.84
2024-02-26,B002,5561.32,3291.36,0.0,2269.96
2024-03-04,B002,5658.04,3290.36,1500.0,867.68
2024-03-11,B002,5457.46,3234.82,0.0,2222.63
2024-03-18,B002,5778.77,3591.53,0.0,2187.24
2024-03-25,B002,5528.56,3086.97,0.0,2441.59
2024-04-01,B002,6187.47,2729.3,1500.0,1958.17
2024-04-08,B002,5934.81,3452.85,0.0,2481.96
2024-04-15,B002,5487.62,3042.46,0.0,2445.16
2024-04-22,B002,5077.37,3157.58,0.0,1919.8
2024-04-29,B002,4956.53,3399.91,0.0,1556.62
2024-05-06,B002,5767.03,2819.55,1500.0,1447.49
2024-05-13,B002,5446.98,2891.67,0.0,2555.31
2024-05-20,B002,5528.05,2823.74,0.0,2704.31
2024-05-27,B002,4754.4,2987.17,0.0,1767.22
2024-06-03,B002,5694.6,3235.93,1500.0,958.68
2024-06-10,B002,5534.05,3254.84,0.0,2279.21
2024-06-17,B002,4991.35,3207.25,0.0,1784.09
2024-06-24,B002,5219.97,2871.45,0.0,2348.52
2024-07-01,B002,5482.3,2693.98,1500.0,1288.32
2024-07-08,B002,5413.36,3168.87,0.0,2244.49
2024-07-15,B002,5297.74,3065.64,0.0,2232.1
2024-07-22,B002,5368.79,3253.88,0.0,2114.91
2024-07-29,B002,5321.86,3304.39,0.0,2017.47
2024-08-05,B002,5468.6,3193.65,1500.0,774.95
2024-08-12,B002,5935.74,3320.03,0.0,2615.72
2024-08-19,B002,4528.99,3215.84,0.0,1313.15
2024-08-26,B002,5353.77,3278.01,0.0,2075.75
2024-09-02,B002,5513.92,3033.07,1500.0,980.85
2024-09-09,B002,5583.04,3140.08,0.0,2442.96
2024-09-16,B002,5396.03,3217.36,0.0,2178.68
2024-09-23,B002,4984.76,3344.11,0.0,1640.65
2024-09-30,B002,5816.47,3103.25,0.0,2713.21
2024-10-07,B002,6428.49,3288.23,1500.0,1640.26
2024-10-14,B002,5408.59,3132.83,0.0,2275.76
2024-10-21,B002,6339.92,3164.49,0.0,3175.42
2024-10-28,B002,5960.02,3355.9,0.0,2604.11
2024-11-04,B002,6026.11,2793.39,1500.0,1732.72
2024-11-11,B002,5596.93,2934.71,0.0,2662.22
2024-11-18,B002,5736.86,2899.56,0.0,2837.3
2024-11-25,B002,6196.68,2731.28,0.0,3465.41
2024-12-02,B002,5853.54,3064.35,1500.0,1289.19
2024-12-09,B002,6192.51,3351.89,0.0,2840.62
2024-12-16,B002,5961.53,3147.02,0.0,2814.51
2024-12-23,B002,5685.82,3245.56,0.0,2440.26
2023-01-02,B003,4959.79,2925.37,1500.0,534.42
2023-01-09,B003,5078.94,2940.21,0.0,2138.72
2023-01-16,B003,4543.27,3340.44,0.0,1202.82
2023-01-23,B003,5134.38,3065.56,0.0,2068.82
2023-01-30,B003,4650.46,3352.69,0.0,1297.78
2023-02-06,B003,4297.67,3020.34,1500.0,-222.68
2023-02-13,B003,4411.94,3361.91,0.0,1050.03
2023-02-20,B003,4072.38,3123.67,0.0,948.71
2023-02-27,B003,4321.84,3146.48,0.0,1175.36
2023-03-06,B003,4543.8,3381.65,1500.0,-337.85
2023-03-13,B003,5015.62,3034.88,0.0,1980.74
2023-03-20,B003,5386.85,2930.6,0.0,2456.25
2023-03-27,B003,4147.13,3019.26,0.0,1127.87
2023-04-03,B003,4855.67,3181.42,1500.0,174.25
2023-04-10,B003,4277.97,2818.16,0.0,1459.81
2023-04-17,B003,4876.88,3214.74,0.0,1662.14
2023-04-24,B003,4624.66,3003.02,0.0,1621.64
2023-05-01,B003,3932.23,3306.61,1500.0,-874.37
2023-05-08,B003,5021.02,2669.03,0.0,2351.99
2023-05-15,B003,4390.62,2958.42,0.0,1432.21
2023-05-22,B003,4400.05,2796.44,0.0,1603.62
2023-05-29,B003,4165.04,2951.28,0.0,1213.76
2023-06-05,B003,4309.21,3144.58,1500.0,-335.37
2023-06-12,B003,4719.02,3067.74,0.0,1651.28
2023-06-19,B003,4448.41,3054.39,0.0,1394.02
2023-06-26,B003,4631.46,3071.35,0.0,1560.12
2023-07-03,B003,4620.66,3136.61,1500.0,-15.95
2023-07-10,B003,4980.4,2918.46,0.0,2061.94
2023-07-17,B003,4291.96,3227.23,0.0,1064.73
2023-07-24,B003,3816.31,3219.28,0.0,597.03
2023-07-31,B003,4813.28,3169.31,0.0,1643.97
2023-08-07,B003,4234.78,3200.18,1500.0,-465.4
2023-08-14,B003,4796.13,3153.36,0.0,1642.78
2023-08-21,B003,4488.75,3466.31,0.0,1022.44
2023-08-28,B003,4270.45,3084.32,0.0,1186.13
2023-09-04,B003,4452.51,3044.73,1500.0,-92.22
2023-09-11,B003,5086.22,2964.37,0.0,2121.85
2023-09-18,B003,5132.25,2914.19,0.0,2218.06
2023-09-25,B003,4327.75,2876.0,0.0,1451.76
2023-10-02,B003,4365.53,2940.02,1500.0,-74.48
2023-10-09,B003,4736.31,3087.28,0.0,1649.03
2023-10-16,B003,3974.73,3160.17,0.0,814.56
2023-10-23,B003,4456.14,3109.21,0.0,1346.93
2023-10-30,B003,4325.06,2962.2,0.0,1362.85
2023-11-06,B003,4475.86,3262.03,1500.0,-286.17
2023-11-13,B003,4034.03,3233.09,0.0,800.93
2023-11-20,B003,3750.56,3071.26,0.0,679.3
2023-11-27,B003,3577.86,2982.48,0.0,595.39
2023-12-04,B003,3982.13,3198.72,1500.0,-716.59
2023-12-11,B003,4268.67,3133.84,0.0,1134.83
2023-12-18,B003,4358.62,2839.34,0.0,1519.28
2023-12-25,B003,5274.89,3087.76,0.0,2187.13
2024-01-01,B003,4966.5,3147.17,1500.0,319.34
2024-01-08,B003,4145.03,2938.05,0.0,1206.97
2024-01-15,B003,4674.0,3134.17,0.0,1539.83
2024-01-22,B003,4376.11,2838.13,0.0,1537.98
2024-01-29,B003,4427.87,3340.51,0.0,1087.35
2024-02-05,B003,4616.75,3324.63,1500.0,-207.88
2024-02-12,B003,4789.37,3054.55,0.0,1734.82
2024-02-19,B003,4402.89,3165.42,0.0,1237.47
2024-02-26,B003,4958.63,2666.21,0.0,2292.42
2024-03-04,B003,4068.23,2891.86,1500.0,-323.63
2024-03-11,B003,4516.72,3047.12,0.0,1469.6
2024-03-18,B003,5539.61,2907.02,0.0,2632.6
2024-03-25,B003,4573.23,3228.59,0.0,1344.64
2024-04-01,B003,5037.83,3459.51,1500.0,78.31
2024-04-08,B003,4478.8,2888.21,0.0,1590.59
2024-04-15,B003,4649.31,2949.26,0.0,1700.06
2024-04-22,B003,4366.38,3142.38,0.0,1224.0
2024-04-29,B003,4290.43,3390.0,0.0,900.43
2024-05-06,B003,4013.91,2879.97,1500.0,-366.06
2024-05-13,B003,4462.75,3144.83,0.0,1317.92
2024-05-20,B003,3913.0,3427.83,0.0,485.16
2024-05-27,B003,4481.18,2802.68,0.0,1678.5
2024-06-03,B003,4609.04,2869.41,1500.0,239.63
2024-06-10,B003,4280.48,3023.75,0.0,1256.72
2024-06-17,B003,3977.61,3006.29,0.0,971.31
2024-06-24,B003,4231.59,3246.27,0.0,985.32
2024-07-01,B003,3884.42,3143.5,1500.0,-759.08
2024-07-08,B003,4340.36,2780.51,0.0,1559.85
2024-07-15,B003,3192.52,3192.77,0.0,-0.26
2024-07-22,B003,3750.81,2996.04,0.0,754.77
2024-07-29,B003,3050.06,3329.4,0.0,-279.34
2024-08-05,B003,3211.35,2987.03,1500.0,-1275.68
2024-08-12,B003,4319.84,2985.41,0.0,1334.43
2024-08-19,B003,4099.48,3197.4,0.0,902.07
2024-08-26,B003,3423.12,3237.33,0.0,185.79
2024-09-02,B003,3082.0,3180.66,1500.0,-1598.66
2024-09-09,B003,2472.0,2796.59,0.0,-324.59
2024-09-16,B003,3418.06,3196.85,0.0,221.21
2024-09-23,B003,4584.17,2913.82,0.0,1670.34
2024-09-30,B003,3773.41,3142.35,0.0,631.06
2024-10-07,B003,3361.98,2843.73,1500.0,-981.75
2024-10-14,B003,3761.03,3180.34,0.0,580.69
2024-10-21,B003,2942.53,2954.81,0.0,-12.29
2024-10-28,B003,3442.47,2869.13,0.0,573.35
2024-11-04,B003,3598.09,3228.49,1500.0,-1130.4
2024-11-11,B003,3522.94,3143.5,0.0,379.44
2024-11-18,B003,3874.71,2989.48,0.0,885.23
2024-11-25,B003,3698.91,3361.21,0.0,337.7
2024-12-02,B003,3832.41,3020.68,1500.0,-688.27
2024-12-09,B003,3294.79,3105.78,0.0,189.01
2024-12-16,B003,3935.02,3148.4,0.0,786.61
2024-12-23,B003,4233.57,2988.46,0.0,1245.11
